abordagem;etapa;algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
AS;only;15;1;10;750;0.9962121212121212;0.8795986622073578;0.9342806394316163;70;194;556;263;1;47652903;36
AS;only;15;1;11;763;0.9962264150943396;0.882943143812709;0.9361702127659574;70;195;568;264;1;47652903;35
AS;only;15;1;12;766;0.9962406015037594;0.8862876254180602;0.9380530973451328;68;198;568;265;1;47652903;34
AS;only;15;1;13;784;0.9962406015037594;0.8862876254180602;0.9380530973451328;68;198;586;265;1;47652903;34
AS;only;15;1;14;810;1.0;0.8862876254180602;0.9397163120567376;42;223;587;265;0;47652904;34
AS;only;15;2;0;0;0.9781021897810219;0.44816053511705684;0.6146788990825688;137;0;0;134;3;47652901;165
AS;only;15;2;1;31;0.9820359281437125;0.5484949832775919;0.7038626609442061;137;30;1;164;3;47652901;135
AS;only;15;2;2;60;0.9835164835164835;0.5986622073578596;0.7442827442827443;137;45;15;179;3;47652901;120
AS;only;15;2;3;359;0.9851485148514851;0.6655518394648829;0.7944111776447106;136;66;293;199;3;47652901;100
AS;only;15;2;4;363;0.9851485148514851;0.6655518394648829;0.7944111776447106;132;70;293;199;3;47652901;100
AS;only;15;2;5;547;0.9877551020408163;0.8093645484949833;0.8897058823529412;129;116;431;242;3;47652901;57
AS;only;15;2;6;549;0.9878542510121457;0.8160535117056856;0.8937728937728938;129;118;431;244;3;47652901;55
AS;only;15;2;7;567;0.9884615384615385;0.8595317725752508;0.9194991055456171;129;131;436;257;3;47652901;42
AS;only;15;2;8;626;0.9961240310077519;0.8595317725752508;0.9228007181328546;70;188;438;257;1;47652903;42
AS;only;15;2;9;967;0.9962121212121212;0.8795986622073578;0.9342806394316163;70;194;773;263;1;47652903;36
AS;only;15;2;10;992;0.9962121212121212;0.8795986622073578;0.9342806394316163;70;194;798;263;1;47652903;36
AS;only;15;2;11;1005;0.9962264150943396;0.882943143812709;0.9361702127659574;70;195;810;264;1;47652903;35
AS;only;15;2;12;1005;0.9962264150943396;0.882943143812709;0.9361702127659574;70;195;810;264;1;47652903;35
AS;only;15;2;13;1026;0.9962406015037594;0.8862876254180602;0.9380530973451328;68;198;828;265;1;47652903;34
AS;only;15;2;14;1052;1.0;0.8862876254180602;0.9397163120567376;42;223;829;265;0;47652904;34
AS;only;15;3;0;0;0.9811320754716981;0.34782608695652173;0.5135802469135802;106;0;0;104;2;47652902;195
AS;only;15;3;1;31;0.9852941176470589;0.44816053511705684;0.6160919540229886;106;30;1;134;2;47652902;165
AS;only;15;3;2;91;0.988950276243094;0.5986622073578596;0.7458333333333333;106;75;16;179;2;47652902;120
AS;only;15;3;3;105;0.9896907216494846;0.6421404682274248;0.7789046653144017;106;88;17;192;2;47652902;107
AS;only;15;3;4;390;0.9900497512437811;0.6655518394648829;0.796;105;96;294;199;2;47652902;100
AS;only;15;3;5;392;0.9900497512437811;0.6655518394648829;0.796;103;98;294;199;2;47652902;100
AS;only;15;3;6;400;0.9903846153846154;0.6889632107023411;0.8126232741617356;103;105;295;206;2;47652902;93
AS;only;15;3;7;578;0.991869918699187;0.8160535117056856;0.8954128440366973;100;146;432;244;2;47652902;55
AS;only;15;3;8;596;0.9922779922779923;0.8595317725752508;0.9211469534050178;100;159;437;257;2;47652902;42
AS;only;15;3;9;626;0.9961240310077519;0.8595317725752508;0.9228007181328546;70;188;438;257;1;47652903;42
AS;only;15;3;10;967;0.9962121212121212;0.8795986622073578;0.9342806394316163;70;194;773;263;1;47652903;36
AS;only;15;3;11;980;0.9962264150943396;0.882943143812709;0.9361702127659574;70;195;785;264;1;47652903;35
