elemento1;elemento2;qtdAlg;min;max;med
4184;6950;9;0.863591268658638;0.9509548656642438;0.9132559199668007
100054;103056;2;0.8214285671710968;0.8361111134290695;0.8287698403000832
100856;105349;1;0.8176406770944595;0.8176406770944595;0.8176406770944595
100856;107734;1;0.8820346295833588;0.8820346295833588;0.8820346295833588
100558;100856;2;0.8142931461334229;0.8197057098150253;0.8169994279742241
109732;109743;1;0.8916666656732559;0.8916666656732559;0.8916666656732559
11423;11538;7;0.9312500059604645;0.989999994635582;0.9502285072198197
2771;5458;9;0.915178582072258;0.9947916641831398;0.9737226971081682
6919;8060;12;0.9510732293128967;1.0;0.9724229338943311
6811;7429;10;0.9227053225040436;0.97826087474823;0.9437268969535395
6413;7975;11;0.9500000029802322;1.0;0.970397699153117
2188;8063;12;0.9416666626930237;1.0;0.979310081306629
