abordagem;etapa;algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
AS;only;8;12;1;31;0.9852941176470589;0.44816053511705684;0.6160919540229886;106;30;1;134;2;47652902;165
AS;only;8;12;2;47;0.9864864864864865;0.4882943143812709;0.6532438478747203;106;42;5;146;2;47652902;153
AS;only;8;12;3;91;0.988950276243094;0.5986622073578596;0.7458333333333333;106;75;16;179;2;47652902;120
AS;only;8;12;4;390;0.9900497512437811;0.6655518394648829;0.796;105;96;294;199;2;47652902;100
AS;only;8;12;5;392;0.9900497512437811;0.6655518394648829;0.796;103;98;294;199;2;47652902;100
AS;only;8;12;6;392;0.9900497512437811;0.6655518394648829;0.796;103;98;294;199;2;47652902;100
AS;only;8;12;7;400;0.9903846153846154;0.6889632107023411;0.8126232741617356;103;105;295;206;2;47652902;93
AS;only;8;13;0;0;0.9781021897810219;0.44816053511705684;0.6146788990825688;137;0;0;134;3;47652901;165
AS;only;8;13;1;31;0.9820359281437125;0.5484949832775919;0.7038626609442061;137;30;1;164;3;47652901;135
AS;only;8;13;2;47;0.9832402234636871;0.5886287625418061;0.7364016736401674;137;42;5;176;3;47652901;123
AS;only;8;13;3;60;0.9835164835164835;0.5986622073578596;0.7442827442827443;137;45;15;179;3;47652901;120
AS;only;8;13;4;74;0.9846153846153847;0.6421404682274248;0.7773279352226722;137;58;16;192;3;47652901;107
AS;only;8;13;5;359;0.9851485148514851;0.6655518394648829;0.7944111776447106;136;66;293;199;3;47652901;100
AS;only;8;13;6;363;0.9851485148514851;0.6655518394648829;0.7944111776447106;132;70;293;199;3;47652901;100
AS;only;8;13;7;371;0.9856459330143541;0.6889632107023411;0.8110236220472441;132;77;294;206;3;47652901;93
AS;only;8;14;0;0;0.9811320754716981;0.34782608695652173;0.5135802469135802;106;0;0;104;2;47652902;195
AS;only;8;14;1;31;0.9852941176470589;0.44816053511705684;0.6160919540229886;106;30;1;134;2;47652902;165
AS;only;8;14;2;62;0.9879518072289156;0.5484949832775919;0.7053763440860216;106;60;2;164;2;47652902;135
AS;only;8;14;3;91;0.988950276243094;0.5986622073578596;0.7458333333333333;106;75;16;179;2;47652902;120
AS;only;8;14;4;105;0.9896907216494846;0.6421404682274248;0.7789046653144017;106;88;17;192;2;47652902;107
AS;only;8;14;5;108;0.9896907216494846;0.6421404682274248;0.7789046653144017;103;91;17;192;2;47652902;107
