elemento1;elemento2;qtdAlg;min;max;med
7037;7237;8;0.9172692232661777;0.9604993015527725;0.9427581886425705
7604;7980;8;0.9279100563791063;0.962921628728509;0.9487983982251949
6314;8464;6;0.9193363785743713;0.9596681892871858;0.9361250630659375
8890;9063;8;0.9579365253448486;0.9857142865657806;0.9740171057232858
7622;8349;8;0.9117647111415863;0.9690126031637193;0.944416849842466
8344;9229;8;0.9570707082748413;1.0;0.9902992261222741
5988;8859;8;1.0;1.0;1.0
10253;10368;8;1.0;1.0;1.0
4184;6950;6;0.888888880610466;0.9509548656642438;0.9207050857582578
4297;4306;8;1.0;1.0;1.0
4291;4905;8;1.0;1.0;1.0
8274;8805;8;1.0;1.0;1.0
8114;8659;8;1.0;1.0;1.0
11455;5289;5;0.8642534017562866;0.9321267008781433;0.8951406712117402
4843;8794;8;0.9333333373069763;0.9833333343267442;0.9677033030522474
11150;8901;8;1.0;1.0;1.0
9588;9811;8;0.9375;0.9843750000000001;0.9697218448067634
10301;6246;8;0.9285714328289032;0.9821428582072258;0.9653963961274079
6740;9193;8;0.9743589460849762;1.0;0.9935439089515611
5921;8423;8;1.0;1.0;1.0
5477;8368;8;0.9333333373069763;0.9833333343267442;0.9677033030522474
4895;9209;8;0.9285714328289032;0.9821428582072258;0.9653963961274079
3670;8151;6;0.8513986021280289;0.9256993010640144;0.882327314970142
4384;5657;7;1.0;1.0;1.0
5010;5205;8;0.9210526347160339;0.9698464944958687;0.9467768108580208
7794;9063;7;0.888293668627739;0.9476190488785508;0.91716824811443
7794;8890;7;0.9299242496490479;0.964962124824524;0.9424256861333274
6568;9557;8;1.0;1.0;1.0
4419;7644;8;0.96875;0.9921875;0.9848609224033816
4613;6116;8;0.9736714959144592;0.989130437374115;0.9811549501297862
2406;7291;8;1.0;1.0;1.0
7515;8151;6;0.9029720276594162;0.9514860138297082;0.9231666579734589
7671;8759;8;1.0;1.0;1.0
2823;4684;7;0.9090557247400284;0.9594298228621484;0.9316211510488212
4348;7170;8;0.9030193156666226;0.9565217345952988;0.9311488744935498
3722;6719;8;1.0;1.0;1.0
7361;7750;8;1.0;1.0;1.0
7288;7483;8;1.0;1.0;1.0
2188;8063;8;0.9666666686534882;1.0;0.9906317909362903
10230;6858;8;0.9335664510726929;1.0;0.9700227288218837
10240;7367;8;0.9666666686534882;0.991666667163372;0.9838516515261237
7404;7405;8;1.0;1.0;1.0
9713;9738;8;1.0;1.0;1.0
7201;8536;7;1.0;1.0;1.0
6382;8494;8;0.9777778089046478;1.0;0.9914427454806054
4732;4911;8;1.0;1.0;1.0
8265;9149;8;1.0;1.0;1.0
6722;7707;8;1.0;1.0;1.0
6858;7653;6;0.8129629691441854;0.9111111164093018;0.8738946970732172
7346;7719;8;1.0;1.0;1.0
6737;7722;8;1.0;1.0;1.0
