abordagem;etapa;algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn;pc
DS;1 - acm diverg;13;28;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;626
DS;1 - acm diverg;13;29;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;626
DS;1 - acm diverg;13;30;0;0;0.9767441860465116;0.4214046822742475;0.5887850467289719;129;0;0;126;3;47652901;173;567
DS;1 - acm diverg;13;31;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;626
DS;1 - acm diverg;13;32;0;0;0.9859154929577465;0.23411371237458195;0.37837837837837834;71;0;0;70;1;47652903;229;453
DS;1 - acm diverg;13;33;0;0;0.98;0.3277591973244147;0.4912280701754386;100;0;0;98;2;47652902;201;319
DS;1 - acm diverg;13;34;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;626
DS;1 - acm diverg;13;35;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;626
DS;1 - acm diverg;13;36;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;626
DS;1 - acm diverg;13;37;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;626
DS;1 - acm diverg;13;38;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;608
DS;1 - acm diverg;13;39;0;0;0.98;0.3277591973244147;0.4912280701754386;100;0;0;98;2;47652902;201;596
DS;1 - acm diverg;13;40;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;619
DS;1 - acm diverg;13;41;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;626
DS;1 - acm diverg;13;42;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;626
DS;1 - acm diverg;13;43;0;0;0.98;0.3277591973244147;0.4912280701754386;100;0;0;98;2;47652902;201;596
DS;1 - acm diverg;13;44;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;619
DS;1 - acm diverg;13;45;0;0;0.9859154929577465;0.23411371237458195;0.37837837837837834;71;0;0;70;1;47652903;229;188
DS;1 - acm diverg;13;46;0;0;0.9859154929577465;0.23411371237458195;0.37837837837837834;71;0;0;70;1;47652903;229;466
DS;1 - acm diverg;13;47;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;626
DS;1 - acm diverg;13;48;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;349
DS;1 - acm diverg;13;49;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;626
DS;1 - acm diverg;13;50;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;619
DS;1 - acm diverg;13;51;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;626
DS;1 - acm diverg;13;52;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;626
DS;1 - acm diverg;13;53;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;626
DS;1 - acm diverg;13;54;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;626
DS;1 - acm diverg;13;55;0;0;0.9859154929577465;0.23411371237458195;0.37837837837837834;71;0;0;70;1;47652903;229;459
DS;1 - acm diverg;13;56;0;0;0.9859154929577465;0.23411371237458195;0.37837837837837834;71;0;0;70;1;47652903;229;466
DS;1 - acm diverg;13;57;0;0;0.9857142857142858;0.23076923076923078;0.37398373983739835;70;0;0;69;1;47652903;230;349
DS;1 - acm diverg;13;58;0;0;0.9859154929577465;0.23411371237458195;0.37837837837837834;71;0;0;70;1;47652903;229;466
DS;1 - acm diverg;13;59;0;0;0.9859154929577465;0.23411371237458195;0.37837837837837834;71;0;0;70;1;47652903;229;466
