abordagem;etapa;algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
AS;only;5;5;0;0;0.8766149870801033;0.6101618705035972;0.7195121951219513;1548;0;0;1357;191;5998689;867
AS;only;5;5;1;862;0.9360730593607306;0.6452338129496403;0.7639073729039128;1371;162;700;1435;98;5998782;789
AS;only;5;5;2;862;0.9360730593607306;0.6452338129496403;0.7639073729039128;1371;162;700;1435;98;5998782;789
AS;only;5;5;3;2731;0.989644304367402;0.9883093525179856;0.9889763779527558;1276;945;1786;2198;23;5998857;26
AS;only;5;5;4;3030;0.994122965641953;0.9887589928057554;0.9914337240757439;979;1233;1797;2199;13;5998867;25
AS;only;5;6;0;0;0.8766149870801033;0.6101618705035972;0.7195121951219513;1548;0;0;1357;191;5998689;867
AS;only;5;6;1;862;0.9360730593607306;0.6452338129496403;0.7639073729039128;1371;162;700;1435;98;5998782;789
AS;only;5;6;2;1623;0.9898341359015517;0.8318345323741008;0.9039824089909602;1279;590;1033;1850;19;5998861;374
AS;only;5;6;3;1676;0.9898774640383591;0.835431654676259;0.9061204584247745;1279;598;1078;1858;19;5998861;366
AS;only;5;6;4;2007;0.9936775553213909;0.8480215827338129;0.9150897622513342;979;919;1088;1886;12;5998868;338
AS;only;5;7;0;0;0.8766149870801033;0.6101618705035972;0.7195121951219513;1548;0;0;1357;191;5998689;867
AS;only;5;7;1;976;0.9736147757255936;0.8295863309352518;0.8958485069191551;1378;517;459;1845;50;5998830;379
AS;only;5;7;2;1623;0.9898341359015517;0.8318345323741008;0.9039824089909602;1279;590;1033;1850;19;5998861;374
AS;only;5;7;3;1676;0.9898774640383591;0.835431654676259;0.9061204584247745;1279;598;1078;1858;19;5998861;366
AS;only;5;7;4;2007;0.9936775553213909;0.8480215827338129;0.9150897622513342;979;919;1088;1886;12;5998868;338
AS;only;5;8;0;0;0.8766149870801033;0.6101618705035972;0.7195121951219513;1548;0;0;1357;191;5998689;867
AS;only;5;8;1;1123;0.9926431949553337;0.8493705035971223;0.9154349406348438;1168;735;388;1889;14;5998866;335
AS;only;5;8;2;1677;0.9926509186351706;0.8502697841726619;0.9159602809396948;1156;749;928;1891;14;5998866;333
AS;only;5;8;3;1751;0.9927611168562565;0.8633093525179856;0.9235209235209234;1156;778;973;1920;14;5998866;304
AS;only;5;8;4;1927;0.9932747025349198;0.8633093525179856;0.923743083954775;980;953;974;1920;13;5998867;304
AS;only;5;9;0;0;0.8393057110862262;0.6740107913669064;0.7476309226932668;1786;0;0;1499;287;5998593;725
AS;only;5;9;1;1003;0.9914438502673797;0.8336330935251799;0.9057156814851002;1347;523;480;1854;16;5998864;370
AS;only;5;9;2;1641;0.9919743178170144;0.8336330935251799;0.9059369655509406;1233;636;1005;1854;15;5998865;370
AS;only;5;9;3;2930;0.993234100135318;0.9901079136690647;0.9916685431209187;1226;991;1939;2202;15;5998865;22
AS;only;5;9;4;3135;0.9941309255079007;0.9901079136690647;0.992115341293084;1021;1194;1941;2202;13;5998867;22
AS;only;5;10;0;0;0.8766149870801033;0.6101618705035972;0.7195121951219513;1548;0;0;1357;191;5998689;867
AS;only;5;10;1;480;0.9286142771445711;0.6960431654676259;0.7956823438704702;1427;240;240;1548;119;5998761;676
AS;only;5;10;2;1126;0.9404617253948967;0.6960431654676259;0.8;1371;275;851;1548;98;5998782;676
AS;only;5;10;3;2881;0.9896536212325686;0.9892086330935251;0.9894310771306498;1276;947;1934;2200;23;5998857;24
AS;only;5;10;4;3180;0.9941282746160794;0.989658273381295;0.9918882379450202;979;1235;1945;2201;13;5998867;23
