algoritmosUtilizados;permutacao;iteracao;inspecoesManuais;precision;recall;f-measure;da;dm;ndm;tp;fp;tn;fn
0;2;0;0;0.9752475247524752;0.6588628762541806;0.7864271457085827;202;0;0;197;5;47652899;102
0;2;1;436;0.9870689655172413;0.7658862876254181;0.8625235404896422;186;46;390;229;3;47652901;70
0;2;2;472;0.9872881355932204;0.7792642140468228;0.8710280373831776;186;50;422;233;3;47652901;66
0;2;3;491;0.9872881355932204;0.7792642140468228;0.8710280373831776;167;69;422;233;3;47652901;66
0;2;4;514;0.98828125;0.8461538461538461;0.9117117117117116;165;91;423;253;3;47652901;46
0;2;5;549;0.98828125;0.8461538461538461;0.9117117117117116;130;126;423;253;3;47652901;46
0;2;6;551;0.98828125;0.8461538461538461;0.9117117117117116;130;126;425;253;3;47652901;46
0;2;7;580;0.9921568627450981;0.8461538461538461;0.9133574007220217;101;154;426;253;2;47652902;46
0;2;8;580;0.9921568627450981;0.8461538461538461;0.9133574007220217;101;154;426;253;2;47652902;46
0;2;9;580;0.9921568627450981;0.8461538461538461;0.9133574007220217;101;154;426;253;2;47652902;46
0;2;10;601;0.9922779922779923;0.8595317725752508;0.9211469534050178;101;158;443;257;2;47652902;42
0;2;11;633;0.9961240310077519;0.8595317725752508;0.9228007181328546;69;189;444;257;1;47652903;42
0;2;12;633;0.9961240310077519;0.8595317725752508;0.9228007181328546;69;189;444;257;1;47652903;42
0;2;13;633;0.9961240310077519;0.8595317725752508;0.9228007181328546;69;189;444;257;1;47652903;42
0;2;14;633;0.9961240310077519;0.8595317725752508;0.9228007181328546;69;189;444;257;1;47652903;42
0;2;15;652;0.9961389961389961;0.862876254180602;0.9247311827956988;69;190;462;258;1;47652903;41
0;2;16;784;0.9962406015037594;0.8862876254180602;0.9380530973451328;68;198;586;265;1;47652903;34
0;2;17;844;1.0;0.8896321070234113;0.9415929203539823;57;209;635;266;0;47652904;33
0;2;18;862;1.0;0.8896321070234113;0.9415929203539823;39;227;635;266;0;47652904;33
0;2;19;862;1.0;0.8896321070234113;0.9415929203539823;39;227;635;266;0;47652904;33
0;2;20;862;1.0;0.8896321070234113;0.9415929203539823;39;227;635;266;0;47652904;33
0;2;21;862;1.0;0.8896321070234113;0.9415929203539823;39;227;635;266;0;47652904;33
